Hardcore Sensations,C-16a,3R2music,1000yen,スペース隣の強い人の会場限定アルバム
archive003: reworks++, B-04ab, tatsuta recordings, 1000yen, 一番欲しい
WIИGS, A-26ab, Next Reflection & NIZI-RINGO, 1000yen, iizo
, Form Ride, B-09a, HARDCORE TANO*C, 1000yen, ↓と一緒に売ってる
IRREGULAR NATION 2, B-09a, HARDCORE TANO*C, 1000yen
J-NERATION 4, A-24b, J-NERATION, 1000yen
Distorted Twins, G-02b, Login Records, 1000yen
pollinosis-panic, B-12b, pichnopop, 500yen, ほしいけど絶対混むのでできれば
